"","date","open","high","low","close"
"41",2020-12-15,1.20944,1.21686,1.19556,1.21541
"42",2020-12-16,1.21544,1.224595,1.19797,1.21964
"43",2020-12-17,1.21954,1.22727,1.21915,1.22647
"44",2020-12-18,1.22627,1.22686,1.22258,1.22571
"45",2020-12-20,1.224585,1.224745,1.22358,1.22358
"46",2020-12-21,1.22358,1.22527,1.21302,1.22351
"47",2020-12-22,1.22352,1.22569,1.21528,1.21873
"48",2020-12-23,1.21873,1.22204,1.21554,1.21932
"49",2020-12-24,1.21932,1.22158,1.21776,1.21849
"50",2020-12-25,1.21849,1.21849,1.21849,1.21849
"51",2020-12-27,1.21939,1.22068,1.21881,1.22042
"52",2020-12-28,1.22053,1.22505,1.21895,1.222475
"53",2020-12-29,1.222475,1.22748,1.222465,1.22524
"54",2020-12-30,1.22524,1.23089,1.22515,1.22987
"55",2020-12-31,1.22991,1.23072,1.221755,1.222055
"56",2021-01-01,1.222055,1.222055,1.22134,1.22134
"57",2021-01-03,1.22364,1.22506,1.22294,1.22483
"58",2021-01-04,1.22467,1.23064,1.22368,1.22508
"59",2021-01-05,1.22502,1.23027,1.22459,1.22967
"60",2021-01-06,1.22967,1.2347,1.2241,1.23366
"61",2021-01-07,1.23366,1.23423,1.22434,1.22672
"62",2021-01-08,1.22672,1.22825,1.21918,1.22207
"63",2021-01-10,1.22206,1.22209,1.2181,1.21853
"64",2021-01-11,1.21853,1.21975,1.21306,1.21587
"65",2021-01-12,1.21588,1.22077,1.21357,1.22069
"66",2021-01-13,1.2207,1.22209,1.20999,1.21491
"67",2021-01-14,1.21491,1.221795,1.21049,1.21489
"68",2021-01-15,1.21486,1.21543,1.20732,1.20742
"69",2021-01-17,1.2079,1.20841,1.20646,1.20646
"70",2021-01-18,1.20645,1.209125,1.20555,1.206455
"71",2021-01-19,1.206455,1.2193,1.20329,1.21376
"72",2021-01-20,1.21372,1.22065,1.2048,1.20755
"73",2021-01-21,1.207495,1.213895,1.20729,1.213605
"74",2021-01-22,1.213605,1.214775,1.212905,1.21391
"75",2021-01-24,1.21376,1.213855,1.213565,1.213695
"76",2021-01-25,1.21367,1.21455,1.21146,1.21347
"77",2021-01-26,1.213465,1.22431,1.21062,1.21613
"78",2021-01-27,1.21615,1.221935,1.204225,1.21009
"79",2021-01-28,1.21017,1.222385,1.2079,1.21191
"80",2021-01-29,1.21191,1.21534,1.20927,1.21356
"81",2021-01-31,1.21272,1.21297,1.21188,1.21209
"82",2021-02-01,1.21204,1.219325,1.20543,1.20658
"83",2021-02-02,1.20658,1.2193,1.203375,1.20462
"84",2021-02-03,1.20462,1.2193,1.203045,1.204855
"85",2021-02-04,1.20486,1.2193,1.20068,1.20111
"86",2021-02-05,1.20109,1.205275,1.20042,1.205245
"87",2021-02-07,1.20484,1.205445,1.204825,1.205215
"88",2021-02-08,1.205215,1.20616,1.203485,1.20599
"89",2021-02-09,1.2061,1.21218,1.20584,1.21163
"90",2021-02-10,1.21164,1.21441,1.2109,1.21191
"91",2021-02-11,1.21192,1.21375,1.21138,1.21309
"92",2021-02-12,1.21308,1.21333,1.20816,1.21193
"93",2021-02-14,1.21245,1.21255,1.21204,1.21205
"94",2021-02-15,1.21206,1.21452,1.21169,1.21322
"95",2021-02-16,1.21321,1.21696,1.20861,1.20882
"96",2021-02-17,1.20883,1.20984,1.20233,1.20456
